t (s);x (m);y (m)
0;0,191759322;0,352627763
0,04;0,263509147;0,538097085
0,08;0,335258972;0,702490347
0,12;0,411229375;0,84580755
0,16;0,487199778;0,972263906
0,2;0,558949604;1,077644202
0,24;0,630699429;1,170378863
0,28;0,698228676;1,242037465
0,32;0,769978501;1,301050431
0,36;0,837507749;1,338987338
0,4;0,909257574;1,364278609
0,44;0,976786821;1,376924244
0,48;1,052757224;1,372709032
0,52;1,116065894;1,347417761
0,56;1,179374563;1,313696066
0,6;1,24690381;1,263113524
0,64;1,314433058;1,195670134
0,68;1,381962305;1,115581109
0,72;1,449491552;1,018631236
0,76;1,5170208;0,900605304
0,8;1,584550047;0,774148949
0,84;1,652079294;0,630831746
0,88;1,715387963;0,470653695
0,92;1,774476055;0,297830009
